Plot,Poptre,Popbal,Salix,Betneo,Betsp,Equsci,Equsp,Picgla,Picmar,Calcan,Calsp,Carric,Caraqu,Carsp,Corcan,Arcuva,Shecan,Vacvit,Empnig,Rubcha,Hedalp
CG1-157A,0,0,2,0,4,0,5,0,3,0,2,0,0,5,0,0,0,0,0,0,0
CG1-157B,0,0,4,0,5,1,5,0,2,0,0,0,3,4,0,0,0,0,0,0,0
CG1-157C,0,0,3,0,0,5,5,4,1,0,0,0,0,5,0,0,0,0,0,0,0
CG1-67A,0,3,4,0,0,3,0,0,2,0,0,5,0,5,5,5,5,0,0,0,1
CG1-67B,0,0,4,0,0,5,1,0,5,0,0,0,0,5,2,3,2,0,0,0,0
CG1-87A,0,1,1,0,0,4,0,0,0,0,0,3,0,3,5,5,5,0,0,0,0
CG1-87B,1,0,5,0,0,5,1,2,2,0,0,0,0,5,2,1,2,0,0,0,0
CG2-1A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,3,1,0,0,0
CG2-1B,0,0,5,0,4,4,0,5,5,0,0,1,0,5,0,1,0,0,0,0,0
CG3-10A,0,0,5,0,5,5,4,0,4,0,0,0,0,5,0,0,0,1,0,0,0
CG3-10B,1,1,5,0,4,1,5,3,1,0,0,0,0,5,0,1,3,0,0,0,0
CG3-10C,0,0,3,0,0,0,0,4,2,0,0,0,0,4,1,4,5,0,0,0,0
CG3-22A,0,0,4,0,4,0,0,2,0,0,0,0,5,4,0,0,0,0,0,0,0
CG3-22B,0,0,4,0,2,5,5,5,0,0,0,0,1,4,0,0,2,3,1,0,0
CG3-2A,0,0,5,0,4,5,5,0,4,0,0,0,0,5,0,0,0,2,0,0,0
CG3-2B,0,0,5,0,2,0,0,0,2,0,0,0,0,5,2,4,3,1,0,0,3
CG3-2C,0,0,5,0,0,3,5,0,4,0,0,0,2,4,0,1,0,5,0,0,0
CG3-30A,0,0,5,0,1,3,4,0,5,0,0,0,0,5,4,0,1,5,0,0,0
CG3-30B,0,0,4,0,4,3,5,1,3,0,0,0,3,4,0,0,0,5,0,0,0
CG3-30C,0,0,2,0,0,4,0,1,4,0,0,0,0,5,0,0,0,5,0,0,0
CG3-37A,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,4,0
CG3-37B,0,0,3,0,1,4,2,0,5,0,0,0,0,2,1,0,1,5,1,0,0
CG3-37C,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,1
F1-18A,0,0,4,0,5,5,0,2,2,0,0,0,5,4,0,0,2,2,0,0,0
F1-18B,0,0,1,0,0,3,0,1,2,0,0,0,4,1,0,0,1,2,1,0,0
F1-22A,0,0,5,0,3,5,0,0,5,0,1,0,5,5,0,0,0,0,0,0,0
F1-22B,1,0,5,0,4,0,0,0,5,0,0,0,0,5,0,0,2,0,0,0,0
F1-22C,0,0,3,0,0,4,0,0,5,0,0,3,0,4,2,0,1,5,1,0,0
F9-11A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F9-11B,1,0,5,0,0,0,5,0,1,1,0,0,3,0,0,0,0,3,0,0,0
F9-15A,0,0,2,3,0,0,1,0,4,0,0,1,0,1,0,0,0,5,0,0,0
F9-15B,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0
F9-2C,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,1,2,5,1,0,0
F9-6A,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,4,0
F9-6B,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,1,0,0
F9-6C,2,0,1,0,0,2,0,0,5,0,0,0,0,0,0,1,2,5,0,0,0
F9-9A,2,0,3,3,0,0,5,0,3,0,0,0,0,0,0,0,4,4,0,0,0
